employee_id,employee_role,employee_name,positive_percentage,negative_percentage,neutral_percentage,survey_responses_count,response_q1,response_q2,response_q3,response_q4,response_q5,full_analysis
20250814_080156_617,manager,John,10,80,10,1,"Employee Feedback: #3 of 100\nEmployee Profile: Senior Software Engineer, feeling frustrated and at risk of leaving due to technical issues and compensation.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[I'd tell them it's a frustrating place for an engineer. We're fighting a decade of technical debt with no real mandate or resources from leadership to fix it. The pay is below market rate, and career advancement seems to require leaving the company.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[2 - I stay because I like my immediate team, but the broader organizational dysfunction is wearing me down.]",3. What aspects of your work do you find most challenging or concerning?\n[The technical debt is crushing our velocity. We spend 70% of our time maintaining legacy systems instead of building new features. Management doesn't understand the technical implications of their decisions.],"4. What would need to change for you to feel more satisfied and engaged at work?\n[Significant investment in modernizing our tech stack, competitive compensation packages, and leadership that actually listens to engineering concerns rather than just pushing for faster delivery.]","5. Any other thoughts or feedback you'd like to share?\n[I've started looking at other opportunities. Several of my colleagues have already left for better-paying roles with more modern tech stacks. If things don't change soon, you'll lose more senior engineers.]","Comprehensive analysis: This senior engineer represents a significant flight risk. The combination of technical frustration, compensation concerns, and feeling unheard by leadership creates a perfect storm for turnover. Immediate action needed on technical debt reduction and compensation review."
20250814_080320_693,developer,Smith,30,50,20,1,"Employee Profile: Marketing Manager, pragmatic and feeling the pressure of budget constraints.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[It's a place where you can do really creative work with a fantastic team, but you have to be prepared to fight for your budget and deal with constantly shifting priorities from above. High potential, but often high stress.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[3 - It's a mixed bag. Love the creative challenges and my team, but the resource constraints and changing direction make it hard to execute effectively.]",3. What aspects of your work do you find most challenging or concerning?\n[Budget limitations force us to be constantly reactive rather than strategic. Every quarter there are new priorities that invalidate months of planning. It's exhausting to constantly start over.],"4. What would need to change for you to feel more satisfied and engaged at work?\n[More predictable budgets and strategic direction. When we do get resources, we do amazing work. But the constant fire-drilling kills morale and wastes potential.]","5. Any other thoughts or feedback you'd like to share?\n[The marketing team has incredible potential but we're hamstrung by organizational chaos above us. With better planning and resource allocation, we could be a real competitive advantage.]",Analysis: Strong team dynamics and creative satisfaction but frustrated by resource constraints and strategic instability. This employee has potential to become a champion with better organizational support and planning consistency.
20250814_080406_723,developer,Steve,15,80,5,1,"Employee Profile: Customer Support Representative, feeling burned out and undervalued.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[It's a job. You spend all day on the front lines dealing with customers who are upset about issues the company isn't fixing. The people you work with are great, but the work itself is a draining, repetitive grind.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[2 - The team keeps me here, but the work is burning me out. I dread coming in most days.]","3. What aspects of your work do you find most challenging or concerning?\n[Dealing with angry customers about problems that never get fixed. We're like human shields for the company's technical and product issues. There's no career progression path, and the pay doesn't reflect the emotional labor required.]",4. What would need to change for you to feel more satisfied and engaged at work?\n[Fix the underlying product issues we field complaints about. Create advancement opportunities beyond 'senior support rep.' Recognize that this role requires significant emotional labor and compensate accordingly.],"5. Any other thoughts or feedback you'd like to share?\n[Customer support should have a voice in product development since we see all the pain points firsthand. Instead, we're treated like a cost center rather than a valuable source of customer insights.]",Analysis: Clear burnout indicators with feeling undervalued and trapped. The disconnect between frontline customer experience and product development creates systemic frustration. Risk of turnover unless role is restructured with growth path and better integration with product teams.
20250814_080426_591,HR,Rogers,80,10,10,1,"Employee Profile: Junior Finance Analyst, ambitious and happy with the structured environment.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[It's an amazing place to learn and start a career in finance. The work is challenging, the standards are high, and there are very smart people to learn from. The hours can be long, but it feels worth it.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[4 - Really enjoying the learning curve and growth opportunities. The only downside is work-life balance during busy periods.]","3. What aspects of your work do you find most challenging or concerning?\n[The learning curve is steep, but that's expected. Sometimes the long hours during month-end close can be overwhelming, but I know it's part of the job.]",4. What would need to change for you to feel more satisfied and engaged at work?\n[Maybe some process improvements to make month-end less chaotic. And clearer communication about long-term career progression would be helpful.],"5. Any other thoughts or feedback you'd like to share?\n[I feel really lucky to be here. My manager invests time in my development, and I can see myself growing significantly in this role. The company culture in finance is collaborative and supportive.]",Analysis: Strong champion candidate with high satisfaction and engagement. The structured learning environment and growth opportunities are key satisfaction drivers. Minor concerns about work-life balance but overall very positive trajectory.
20250814_080508_740,director,Robert,40,40,20,1,"Employee Profile: UX Designer, creative but frustrated by the company's lack of user-centricity.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[It's a place where you get to work on complex design problems with a brilliant design team. But you also have to accept that your user research and best-practice recommendations will often be overruled by last-minute business decisions.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[3 - I love the design challenges and my teammates, but it's frustrating when good UX gets sacrificed for short-term business goals.]",3. What aspects of your work do you find most challenging or concerning?\n[User research gets ignored when it conflicts with business timelines. We'll spend weeks perfecting an experience only to have it gutted for a faster launch. It's demoralizing when user needs aren't prioritized.],4. What would need to change for you to feel more satisfied and engaged at work?\n[More respect for the design process and user research. Earlier involvement in product decisions rather than being brought in to 'make it pretty' after the strategy is set.],"5. Any other thoughts or feedback you'd like to share?\n[The design team itself is fantastic - we support each other and do great work. But the broader organization doesn't seem to value user-centered design principles, which makes it hard to feel like we're making a real impact.]",Analysis: Mixed satisfaction with strong team dynamics but systemic frustration with organizational priorities. The tension between design best practices and business pressures creates ongoing stress. Potential to improve with better integration of UX in strategic planning.
20250814_084105_517,SDE,Downey,75,15,10,1,"Employee Profile: Remote IT Support Specialist, content with their role but feels socially disconnected.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[It's a great place if you value autonomy and work-life balance. I get to solve problems all day with minimal supervision. The flip side is that you can feel a bit like you're on an island, disconnected from the broader team.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[4 - Really satisfied with the work itself and the flexibility, but sometimes wish I felt more connected to colleagues and company culture.]","3. What aspects of your work do you find most challenging or concerning?\n[The isolation can be tough. When you're remote and in a support role, you don't get the casual interactions that build relationships. Sometimes I feel out of the loop on company developments.]",4. What would need to change for you to feel more satisfied and engaged at work?\n[More opportunities for virtual team building and better communication about company direction. Maybe occasional in-person meetups or structured ways to connect with colleagues beyond work issues.],5. Any other thoughts or feedback you'd like to share?\n[I really value the trust and autonomy I have in this role. The work is engaging and I feel competent and valued for my technical skills. Just would love to feel more connected to the team and company culture.],"Analysis: High job satisfaction with strong autonomy and technical fulfillment, but experiencing social isolation common to remote workers. Good candidate for champion status with improved connection and communication strategies."
20250814_084159_758,Cleaner,Sam,30,50,20,1,"Employee Profile: Senior Product Manager, strategic but feeling overwhelmed by competing priorities.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[You get a ton of ownership and get to shape the future of the product. But you're also the central point for demands from every single department, and it feels like you spend your entire life in meetings trying to balance impossible trade-offs.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[3 - I love the strategic work and the impact, but the operational chaos and competing demands are wearing me down.]","3. What aspects of your work do you find most challenging or concerning?\n[Every stakeholder thinks their priority should be #1. Sales wants new features yesterday, engineering wants to fix technical debt, marketing wants flashy capabilities. There's no clear framework for making trade-offs, so everything becomes a political battle.]","4. What would need to change for you to feel more satisfied and engaged at work?\n[Clear strategic priorities from leadership and better frameworks for making trade-off decisions. Also, more PM support - the team is too small for the scope of products we're managing.]","5. Any other thoughts or feedback you'd like to share?\n[The product manager role here has incredible potential impact, but it's set up to burn people out. With better organizational support and clearer decision-making frameworks, this could be an amazing role.]",Analysis: High potential role with significant impact but suffering from organizational dysfunction and competing priorities without clear frameworks. At risk of burnout without better strategic clarity and resource support.
20250814_084221_622,organiser,Williams,70,20,10,1,"Employee Profile: New Graduate Software Engineer, enthusiastic but also anxious.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[It's amazing and terrifying all at once! I'm learning so much so fast, and the people on my team are brilliant and incredibly patient. I also feel like I have no idea what I'm doing half the time.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[4 - Really excited about what I'm learning, though sometimes the imposter syndrome hits hard.]",3. What aspects of your work do you find most challenging or concerning?\n[The learning curve is incredibly steep. Sometimes I worry I'm not contributing enough or that I'm asking too many questions. The codebase is complex and there's a lot of domain knowledge to absorb.],4. What would need to change for you to feel more satisfied and engaged at work?\n[Maybe more structured onboarding or mentorship programs. It would help to have clearer expectations about what 'success' looks like at different stages of ramping up.],"5. Any other thoughts or feedback you'd like to share?\n[I feel incredibly lucky to be here and to work with such talented people. Everyone has been supportive, and I can feel myself growing every week. Just hoping I can live up to expectations!]",Analysis: Strong positive trajectory with high learning motivation and team support. The anxiety is normal for new graduates but could benefit from more structured mentorship and clearer success metrics. High potential for champion development.
20250814_084242_554,SDE,Bruce,10,80,10,1,"Employee Profile: Facilities Coordinator, feeling essential but completely overlooked and unappreciated.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[I'd say my work is what keeps the office running, but no one knows my name. You're basically invisible to the professional staff unless a lightbulb burns out or the coffee machine is broken.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[2 - The work itself is fine, but feeling completely invisible and undervalued is demoralizing.]","3. What aspects of your work do you find most challenging or concerning?\n[Being treated like part of the furniture. People don't acknowledge the complexity of keeping an office running smoothly. There's no career development, no recognition, and the pay reflects how little the company values this function.]","4. What would need to change for you to feel more satisfied and engaged at work?\n[Basic recognition that facilities work is skilled labor that keeps everyone else productive. Some acknowledgment of good work, opportunities for professional development, and pay that reflects the responsibility.]","5. Any other thoughts or feedback you'd like to share?\n[I know my role isn't glamorous, but it's essential. A little respect and recognition would go a long way. Right now it feels like the company sees facilities as a necessary evil rather than a valuable service.]",Analysis: Clear undervaluation and invisibility issues creating significant dissatisfaction. This represents a systemic problem with how support roles are perceived and valued. High risk of turnover without recognition and development opportunities.
20250814_084614_680,SDE,Banner,30,50,20,1,"Employee Profile: Data Scientist, intellectually engaged but blocked by poor data infrastructure.\n1. Let's start simple: If you were describing what it's like working here to a friend, what would you say?\n[It's a place with fascinating data and an endless supply of interesting problems to solve. But you have to be prepared to spend 80% of your time cleaning and wrangling data because our infrastructure is a mess.]","2. On a scale from 1 (very unhappy) to 5 (very happy), how would you rate your overall job satisfaction?\n[3 - Love the intellectual challenges, hate the infrastructure limitations that prevent me from doing my best work.]","3. What aspects of your work do you find most challenging or concerning?\n[The data infrastructure is years behind where it should be. We have amazing datasets but accessing and cleaning them takes forever. By the time I get to the actual analysis, I'm already exhausted.]","4. What would need to change for you to feel more satisfied and engaged at work?\n[Investment in proper data infrastructure - modern tools, clean pipelines, and data engineering support. I want to spend my time on insights, not data janitor work.]","5. Any other thoughts or feedback you'd like to share?\n[There's so much potential here for data-driven decision making, but we're held back by technical debt in our data systems. With the right infrastructure investment, we could be doing amazing work.]",Analysis: High intellectual engagement but significant frustration with infrastructure limitations. The mismatch between sophisticated analytical capabilities and poor data systems creates inefficiency and dissatisfaction. Investment in data infrastructure could convert to champion.
